question_no,question_label,data_column_role,vendor_variable,vendor_label
P1,응답코드,raw,응답ID,응답ID
P2,패널코드,raw,패널코드,패널코드
P3,성별,raw,성별,성별
P4,나이,raw,나이,나이
P5,거주 지역(상세),raw,지역,지역
P6,거주 지역,raw,지역그룹,지역그룹
P7,세대,raw,나이,나이 -> 세대 파생
Q1,사업장 지역,raw,SQ3,귀하께서 근무하시는 기업의 사업장 소재지는 어디인가요?
Q2,사업장 인원,raw,SQ4,현재 근무하고 있는 사업장(오피스)에 근무하는 인원은 몇 명인가요?
Q3,업종,raw,BSQ5,귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요?
Q3_TEXT,업종__기타_텍스트,expanded,BSQ5[TEXT],귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요?
Q4,직무,raw,BSQ6,현재 귀하께서 담당하고 있는 주요 업무는 무엇인가요?
Q4_TEXT,직무__기타_텍스트,expanded,BSQ6[TEXT],현재 귀하께서 담당하고 있는 주요 업무는 무엇인가요?
Q5,기업 유형,raw,BSQ7,귀하께서 재직 중인 기업은 다음 중 어디에 해당하나요?
Q5_TEXT,기업 유형__기타_텍스트,expanded,BSQ7[TEXT],귀하께서 재직 중인 기업은 다음 중 어디에 해당하나요?
Q6,직책,raw,SQ8,귀하의 기업 내 직책은 어디에 해당하나요?
Q7,총 경력,raw,SQ9,귀하의 직장생활 총 경력은 어떻게 되나요?
Q8,현 직장 재직 기간,raw,SQ10,현재 직장에서의 재직 기간은 어떻게 되나요?
Q9,사무실 출근일수,raw,SQ2,한 주에 평균 며칠 사무실에서 근무하시나요?
Q10,현재 운영 중인 근무 제도,raw,Q2,회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q10_M1,현재 운영 중인 근무 제도__운영하는 특별 근무 제도 없음,expanded,Q2[M1],회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q10_M2,"현재 운영 중인 근무 제도__원격 근무제 (재택근무 등, 본 근무지 이외 장소에서 업무)",expanded,Q2[M2],회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q10_M3,현재 운영 중인 근무 제도__선택적 근로시간제 (근무일수 & 하루 근무시간 고정 / 출퇴근 시간 조정 가능),expanded,Q2[M3],회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q10_M4,현재 운영 중인 근무 제도__탄력적 근로시간제 (일주일 근무시간 고정 / 출퇴근 시간 & 근무일수 조정 가능),expanded,Q2[M4],회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q10_M5,현재 운영 중인 근무 제도__주 4일(이하) 근무제 (조직 차원에서 주 4일(이하)로 근무일수를 정한 경우),expanded,Q2[M5],회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q10_M6,현재 운영 중인 근무 제도__기타 (직접 입력),expanded,Q2[M6],회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q10_M6_TEXT,현재 운영 중인 근무 제도__기타_텍스트,expanded,Q2[M6],회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해 주세요.
Q11,일주일 평균 근무 시간,raw,Q3,한 주에 평균 몇 시간 근무하시나요? 1시간 단위로 응답해 주세요.
Q12,이상적인 사무실 출근일수,raw,Q4,"‘오피스 외 다른 곳에서 일하는 원격근무’가 가능할 때, 오피스 출근일은 일주일에 며칠이 적당하다고 생각하시나요?"
Q13,올해 이용해 본 근무 장소,raw,BQ5,다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M1,올해 이용해 본 근무 장소__보기 중 근무 장소로 이용해 본 장소 없음,expanded,BQ5[M1],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
