"survey_year","respondent_no","개인 업무 특성_독립","개인 업무 특성_협업","내 자리 업무 행태","내 자리 업무 행태_1순위","내 자리 업무 행태_2순위","내 자리 업무 행태_3순위","내 자리 업무 행태__기타_텍스트","생산성이 증대되는 업무 장소","생산성이 증대되는 업무 장소__기타_텍스트","커뮤니케이션 행태","커뮤니케이션 행태_1순위","커뮤니케이션 행태_2순위","커뮤니케이션 행태_3순위","커뮤니케이션 행태__기타_텍스트","회의 횟수","회의 시간","회의 규모","회의 규모_1순위","회의 규모_2순위","회의 규모_3순위","협업 대상","협업 대상_1순위","협업 대상_2순위","협업 대상_3순위","협업 대상_4순위","업무 외 활동 니즈","업무 외 활동 니즈_1순위","업무 외 활동 니즈_2순위","업무 외 활동 니즈_3순위","업무 외 활동 니즈__기타_텍스트","오피스 경험 인식_기능 공간","오피스 경험 인식_생활 공간","사무환경 만족도_종합","사무환경 만족도_직원 배려","사무환경 만족도_업무 효율","사무환경 만족도_유연","사무환경 만족도_수평","조직문화 만족도_유연","조직문화 만족도_친밀함","조직문화 만족도_동기부여","조직문화 만족도_자율","조직문화 만족도_워라밸","커피를 마시며 동료와 대화","우연한 만남을 통한 가벼운 커뮤니케이션","필요에 맞게 자율적으로 일 할 공간을 선택","재충전을 위한 개인 휴식","필요에 맞게 협업 공간 선택","팀원 또는 유관 팀과 정기적 회의","서로의 작업 진행 상황과 정보를 공유","팀원 또는 유관 팀과 간단한 캐주얼 회의","혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동","업무 중 상급자와 부담없이 소통","통화나 회의로 발생하는 소음을 최소화","직급/직책에 관계없이 의견 개진 및 다양한 직급/직책간 상호 교류","자유 의견","연령대","소속","직급","응답 코드"
"2025","1","90","10","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|참고 서적이나 서류 검토|업무 관련 통화","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","참고 서적이나 서류 검토","업무 관련 통화","","내 자리 또는 사무실 내 오픈 라운지에서 수행한다.","","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|외부 인원(계열사, 협력사 등)과의 업무 협의 회의|비정기적으로 의견을 교류하는 캐주얼 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","외부 인원(계열사, 협력사 등)과의 업무 협의 회의","비정기적으로 의견을 교류하는 캐주얼 회의","","1-2회","1시간~1시간 30분","5-8인|4인 이하|9-16인","5-8인","4인 이하","9-16인","영업지원실 - 신용심사팀|영업지원실 - 영업업무팀|영업지원실 - 공제사업팀|채권관리실 - 채권관리팀","영업지원실 - 신용심사팀","영업지원실 - 영업업무팀","영업지원실 - 공제사업팀","채권관리실 - 채권관리팀","분리된 공간에서 조용하게 집중 업무|장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅|조직 구성원이 모여 자유로운 업무공유 및 토론","분리된 공간에서 조용하게 집중 업무","장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅","조직 구성원이 모여 자유로운 업무공유 및 토론","","5","5","5","2","2","1","1","2","3","3","2","2","1","1","1","1","1","1","1","1","1","2","1","2","인사이동 및 조직개편에 따른 자리배치가 유연하게 이뤄지고 개인 사생활이 어느 정도는 보장될 수 있도록 개선이 되면 좋겠습니다.","50대 이상","정보화지원센터","과장","114982832877"
"2025","2","75","25","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|참고 서적이나 서류 검토|업무 관련 통화","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","참고 서적이나 서류 검토","업무 관련 통화","","내 자리 또는 사무실 내 1인 업무 공간에서 수행한다.","","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|지식 공유 목적의 교육 및 세미나|비정기적으로 의견을 교류하는 캐주얼 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","지식 공유 목적의 교육 및 세미나","비정기적으로 의견을 교류하는 캐주얼 회의","","1-2회","30분~1시간","5-8인|4인 이하|9-16인","5-8인","4인 이하","9-16인","해당사항 없음|해당사항 없음|해당사항 없음|해당사항 없음","해당사항 없음","해당사항 없음","해당사항 없음","해당사항 없음","분리된 공간에서 조용하게 집중 업무|캐주얼한 분위기에서 편안하게 업무|조직 구성원과의 편안한 대화","분리된 공간에서 조용하게 집중 업무","캐주얼한 분위기에서 편안하게 업무","조직 구성원과의 편안한 대화","","4","4","2","1","2","1","1","1","3","1","2","3","1","1","1","1","1","5","4","5","1","2","1","2","수직적인 레이아웃, 직원마다 다른 책상,의자,pc등 낡음 정도의 차이, 부족한 휴게 공간, 좁은 공간, 경직적인 사무분위기 등이 개선이 되면 좋을 것 같습니다","30대","금융사업실 - 금융사업팀","대리","114985529583"
"2025","4","70","30","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|업무 관련 통화|참고 서적이나 서류 검토","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","업무 관련 통화","참고 서적이나 서류 검토","","거의 모든 업무를 내 자리에서 수행한다.","","외부 인원(계열사, 협력사 등)과의 업무 협의 회의|지식 공유 목적의 교육 및 세미나|비정기적으로 의견을 교류하는 캐주얼 회의","외부 인원(계열사, 협력사 등)과의 업무 협의 회의","지식 공유 목적의 교육 및 세미나","비정기적으로 의견을 교류하는 캐주얼 회의","","1-2회","30분 미만","4인 이하|5-8인|9-16인","4인 이하","5-8인","9-16인","금융사업실 - 회계팀|경영지원실 - 총무팀|기획조정실 - 홍보팀|기획조정실 - 기획예산팀","금융사업실 - 회계팀","경영지원실 - 총무팀","기획조정실 - 홍보팀","기획조정실 - 기획예산팀","분리된 공간에서 조용하게 집중 업무|출근 직후 및 점심 시간에 간단한 취식|출근 직후 또는 업무 중 짧은 휴식","분리된 공간에서 조용하게 집중 업무","출근 직후 및 점심 시간에 간단한 취식","출근 직후 또는 업무 중 짧은 휴식","","4","4","5","3","4","3","3","3","4","3","4","4","2","4","2","1","2","5","5","6","2","4","1","5","점심시간 동안 직원 개인 자리에서나 별도의 휴게공간이 확보되었으면 좋겠습니다.","30대","경영지원실 - 사옥관리팀","대리","114985520979"
"2025","5","70","30","참고 서적이나 서류 검토|문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|업무 관련 통화","참고 서적이나 서류 검토","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","업무 관련 통화","","일정 시간 사무실 외부 공간에서 업무를 수행한다.","","비정기적으로 의견을 교류하는 캐주얼 회의|팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|지식 공유 목적의 교육 및 세미나","비정기적으로 의견을 교류하는 캐주얼 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","지식 공유 목적의 교육 및 세미나","","1-2회","30분~1시간","5-8인|4인 이하|9-16인","5-8인","4인 이하","9-16인","해당사항 없음|해당사항 없음|해당사항 없음|해당사항 없음","해당사항 없음","해당사항 없음","해당사항 없음","해당사항 없음","분리된 공간에서 조용하게 집중 업무|캐주얼한 분위기에서 편안하게 업무|조직 구성원이 모여 자유로운 업무공유 및 토론","분리된 공간에서 조용하게 집중 업무","캐주얼한 분위기에서 편안하게 업무","조직 구성원이 모여 자유로운 업무공유 및 토론","","4","5","4","3","3","2","2","2","4","3","3","4","4","3","3","1","2","5","3","2","5","6","2","5","","40대","감사실","차장","114985521380"
"2025","6","60","40","참고 서적이나 서류 검토|샘플이나 실물 검토/목업|1인 컨퍼런스콜 / 화상회의","참고 서적이나 서류 검토","샘플이나 실물 검토/목업","1인 컨퍼런스콜 / 화상회의","","거의 모든 업무를 내 자리에서 수행한다.","","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|지식 공유 목적의 교육 및 세미나|자유롭게 아이디어를 나누는 브레인스토밍 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","지식 공유 목적의 교육 및 세미나","자유롭게 아이디어를 나누는 브레인스토밍 회의","","1-2회","30분 미만","4인 이하|5-8인|9-16인","4인 이하","5-8인","9-16인","영업지원실 - 영업업무팀|영업지원실 - 신용심사팀|기획조정실 - 기획예산팀|채권관리실 - 법무팀","영업지원실 - 영업업무팀","영업지원실 - 신용심사팀","기획조정실 - 기획예산팀","채권관리실 - 법무팀","분리된 공간에서 조용하게 집중 업무|조직 구성원과의 편안한 대화|캐주얼한 분위기에서 편안하게 업무","분리된 공간에서 조용하게 집중 업무","조직 구성원과의 편안한 대화","캐주얼한 분위기에서 편안하게 업무","","5","5","4","4","4","3","3","3","3","3","3","3","4","4","4","3","4","4","4","3","5","3","3","3","","40대","감사실","차장","114984568825"
"2025","7","30","70","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|샘플이나 실물 검토/목업|업무 관련 통화","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","샘플이나 실물 검토/목업","업무 관련 통화","","거의 모든 업무를 내 자리에서 수행한다.","","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|지식 공유 목적의 교육 및 세미나|비정기적으로 의견을 교류하는 캐주얼 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","지식 공유 목적의 교육 및 세미나","비정기적으로 의견을 교류하는 캐주얼 회의","","1-2회","30분~1시간","5-8인|4인 이하|17인 이상","5-8인","4인 이하","17인 이상","영업지원실 - 영업업무팀|영업지원실 - 신용심사팀|영업지원실 - 공제사업팀|금융사업실 - 회계팀","영업지원실 - 영업업무팀","영업지원실 - 신용심사팀","영업지원실 - 공제사업팀","금융사업실 - 회계팀","분리된 공간에서 조용하게 집중 업무|조직 구성원이 모여 자유로운 업무공유 및 토론|출근 직후 및 점심 시간에 간단한 취식","분리된 공간에서 조용하게 집중 업무","조직 구성원이 모여 자유로운 업무공유 및 토론","출근 직후 및 점심 시간에 간단한 취식","","4","4","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","","30대","정보화지원센터","과장","114984744269"
"2025","8","30","70","업무 관련 통화|참고 서적이나 서류 검토|문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","업무 관련 통화","참고 서적이나 서류 검토","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","","내 자리 또는 사무실 내 오픈 라운지에서 수행한다.","","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|외부 인원(계열사, 협력사 등)과의 업무 협의 회의|비정기적으로 의견을 교류하는 캐주얼 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","외부 인원(계열사, 협력사 등)과의 업무 협의 회의","비정기적으로 의견을 교류하는 캐주얼 회의","","3-4회","30분~1시간","4인 이하|5-8인|9-16인","4인 이하","5-8인","9-16인","채권관리실 - 법무팀|영업지원실 - 영업업무팀|정보화지원센터|영업지원실 - 신용심사팀","채권관리실 - 법무팀","영업지원실 - 영업업무팀","정보화지원센터","영업지원실 - 신용심사팀","출근 직후 및 점심 시간에 간단한 취식|조직 구성원이 모여 자유로운 업무공유 및 토론|별도로 마련된 공간에서 고객 및 방문자 응대","출근 직후 및 점심 시간에 간단한 취식","조직 구성원이 모여 자유로운 업무공유 및 토론","별도로 마련된 공간에서 고객 및 방문자 응대","","5","4","2","2","3","1","2","2","4","3","3","3","2","4","2","1","4","4","4","4","2","2","4","3","","30대","채권관리실 - 채권관리팀","대리","114984739942"
"2025","9","70","30","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|업무 관련 통화|참고 서적이나 서류 검토","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","업무 관련 통화","참고 서적이나 서류 검토","","거의 모든 업무를 내 자리에서 수행한다.","","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|비정기적으로 의견을 교류하는 캐주얼 회의|자유롭게 아이디어를 나누는 브레인스토밍 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","비정기적으로 의견을 교류하는 캐주얼 회의","자유롭게 아이디어를 나누는 브레인스토밍 회의","","3-4회","30분 미만","4인 이하|5-8인|9-16인","4인 이하","5-8인","9-16인","경영지원실 - 총무팀|금융사업실 - 회계팀|기획조정실 - 홍보팀|기획조정실 - 기획예산팀","경영지원실 - 총무팀","금융사업실 - 회계팀","기획조정실 - 홍보팀","기획조정실 - 기획예산팀","분리된 공간에서 조용하게 집중 업무|캐주얼한 분위기에서 편안하게 업무|출근 직후 및 점심 시간에 간단한 취식","분리된 공간에서 조용하게 집중 업무","캐주얼한 분위기에서 편안하게 업무","출근 직후 및 점심 시간에 간단한 취식","","4","4","3","2","3","2","3","2","3","3","3","3","3","3","4","2","4","4","3","4","4","3","2","2","","30대","경영지원실 - 인사팀","대리","114984740083"
"2025","10","70","30","업무 관련 통화|문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|참고 서적이나 서류 검토","업무 관련 통화","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","참고 서적이나 서류 검토","","내 자리 또는 사무실 내 오픈 라운지에서 수행한다.","","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|외부 인원(계열사, 협력사 등)과의 업무 협의 회의|비정기적으로 의견을 교류하는 캐주얼 회의","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의","외부 인원(계열사, 협력사 등)과의 업무 협의 회의","비정기적으로 의견을 교류하는 캐주얼 회의","","1-2회","30분~1시간","5-8인|4인 이하|9-16인","5-8인","4인 이하","9-16인","금융사업실 - 회계팀|경영지원실 - 사옥관리팀|기획조정실 - 기획예산팀|해당사항 없음","금융사업실 - 회계팀","경영지원실 - 사옥관리팀","기획조정실 - 기획예산팀","해당사항 없음","분리된 공간에서 조용하게 집중 업무|출근 직후 및 점심 시간에 간단한 취식|캐주얼한 분위기에서 편안하게 업무","분리된 공간에서 조용하게 집중 업무","출근 직후 및 점심 시간에 간단한 취식","캐주얼한 분위기에서 편안하게 업무","","4","4","3","2","4","3","3","4","4","3","3","3","6","5","4","3","3","4","4","4","4","5","3","4","","50대 이상","경영지원실 - 총무팀","차장","114984737340"
"2025","11","90","10","참고 서적이나 서류 검토|문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|업무 관련 통화","참고 서적이나 서류 검토","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)","업무 관련 통화","","거의 모든 업무를 내 자리에서 수행한다.","","외부 인원(계열사, 협력사 등)과의 업무 협의 회의|자유롭게 아이디어를 나누는 브레인스토밍 회의|지식 공유 목적의 교육 및 세미나","외부 인원(계열사, 협력사 등)과의 업무 협의 회의","자유롭게 아이디어를 나누는 브레인스토밍 회의","지식 공유 목적의 교육 및 세미나","","1-2회","30분 미만","4인 이하|5-8인|9-16인","4인 이하","5-8인","9-16인","금융사업실 - 대체투자팀|금융사업실 - 회계팀|해당사항 없음|해당사항 없음","금융사업실 - 대체투자팀","금융사업실 - 회계팀","해당사항 없음","해당사항 없음","출근 직후 및 점심 시간에 간단한 취식|출근 직후 또는 업무 중 짧은 휴식|별도로 마련된 공간에서 고객 및 방문자 응대","출근 직후 및 점심 시간에 간단한 취식","출근 직후 또는 업무 중 짧은 휴식","별도로 마련된 공간에서 고객 및 방문자 응대","","4","4","4","4","4","4","4","4","4","4","4","4","3","4","5","3","4","5","6","4","6","6","6","6","","50대 이상","금융사업실 - 금융사업팀","팀장","114982996782"
