"question_no","question_label","target_column","source_column","match_type","confidence","status","note"
"Q1","개인 업무 특성","개인 업무 특성","10:내 일은 혼자 집중해서 하는 업무가 많은 편이다 | 11:내 일은 업무 관련 협의 업무가 많은 편이다","ratio_allocation_raw","high","mapped","독립/협업 주관식 숫자 2개 문항을 주관식 비율 배분 raw 값으로 결합했습니다."
"Q1_A1","개인 업무 특성__독립","개인 업무 특성__독립","10:내 일은 혼자 집중해서 하는 업무가 많은 편이다","ratio_allocation_expanded","high","mapped","독립 업무 비율 숫자 입력을 비율 배분 항목별 expanded 값으로 적재했습니다."
"Q1_A2","개인 업무 특성__협업","개인 업무 특성__협업","11:내 일은 업무 관련 협의 업무가 많은 편이다","ratio_allocation_expanded","high","mapped","협업 업무 비율 숫자 입력을 비율 배분 항목별 expanded 값으로 적재했습니다."
"Q3","내 자리 업무 행태","내 자리 업무 행태","12:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 1순위 | 13:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 2순위 | 14:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 3순위 | 15:참고 서적이나 서류 검토 - 1순위 | 16:참고 서적이나 서류 검토 - 2순위 | 17:참고 서적이나 서류 검토 - 3순위 | 18:샘플이나 실물 검토/목업 - 1순위 | 19:샘플이나 실물 검토/목업 - 2순위 | 20:샘플이나 실물 검토/목업 - 3순위 | 21:업무 관련 통화 - 1순위 | 22:업무 관련 통화 - 2순위 | 23:업무 관련 통화 - 3순위 | 24:1인 컨퍼런스콜/화상회의 - 1순위 | 25:1인 컨퍼런스콜/화상회의 - 2순위 | 26:1인 컨퍼런스콜/화상회의 - 3순위 | 27:기타(구체적으로 명시)","rank_matrix_rebuild","high","mapped","1-2 순위형 매트릭스(기타 텍스트 별도 컬럼) vendor export의 순위형 one-hot 매트릭스를 rank order raw 값으로 재구성했습니다."
"Q3_R1","내 자리 업무 행태_1순위","내 자리 업무 행태_1순위","12:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 1순위 | 13:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 2순위 | 14:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 3순위 | 15:참고 서적이나 서류 검토 - 1순위 | 16:참고 서적이나 서류 검토 - 2순위 | 17:참고 서적이나 서류 검토 - 3순위 | 18:샘플이나 실물 검토/목업 - 1순위 | 19:샘플이나 실물 검토/목업 - 2순위 | 20:샘플이나 실물 검토/목업 - 3순위 | 21:업무 관련 통화 - 1순위 | 22:업무 관련 통화 - 2순위 | 23:업무 관련 통화 - 3순위 | 24:1인 컨퍼런스콜/화상회의 - 1순위 | 25:1인 컨퍼런스콜/화상회의 - 2순위 | 26:1인 컨퍼런스콜/화상회의 - 3순위 | 27:기타(구체적으로 명시)","rank_split","high","mapped","1-2 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q3_R2","내 자리 업무 행태_2순위","내 자리 업무 행태_2순위","12:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 1순위 | 13:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 2순위 | 14:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 3순위 | 15:참고 서적이나 서류 검토 - 1순위 | 16:참고 서적이나 서류 검토 - 2순위 | 17:참고 서적이나 서류 검토 - 3순위 | 18:샘플이나 실물 검토/목업 - 1순위 | 19:샘플이나 실물 검토/목업 - 2순위 | 20:샘플이나 실물 검토/목업 - 3순위 | 21:업무 관련 통화 - 1순위 | 22:업무 관련 통화 - 2순위 | 23:업무 관련 통화 - 3순위 | 24:1인 컨퍼런스콜/화상회의 - 1순위 | 25:1인 컨퍼런스콜/화상회의 - 2순위 | 26:1인 컨퍼런스콜/화상회의 - 3순위 | 27:기타(구체적으로 명시)","rank_split","high","mapped","1-2 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q3_R3","내 자리 업무 행태_3순위","내 자리 업무 행태_3순위","12:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 1순위 | 13:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 2순위 | 14:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 3순위 | 15:참고 서적이나 서류 검토 - 1순위 | 16:참고 서적이나 서류 검토 - 2순위 | 17:참고 서적이나 서류 검토 - 3순위 | 18:샘플이나 실물 검토/목업 - 1순위 | 19:샘플이나 실물 검토/목업 - 2순위 | 20:샘플이나 실물 검토/목업 - 3순위 | 21:업무 관련 통화 - 1순위 | 22:업무 관련 통화 - 2순위 | 23:업무 관련 통화 - 3순위 | 24:1인 컨퍼런스콜/화상회의 - 1순위 | 25:1인 컨퍼런스콜/화상회의 - 2순위 | 26:1인 컨퍼런스콜/화상회의 - 3순위 | 27:기타(구체적으로 명시)","rank_split","high","mapped","1-2 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q3_TEXT","내 자리 업무 행태__기타_텍스트","내 자리 업무 행태__기타_텍스트","12:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 1순위 | 13:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 2순위 | 14:문서 또는 그래픽, 프로그래밍 작업(컴퓨터 기반 업무) - 3순위 | 15:참고 서적이나 서류 검토 - 1순위 | 16:참고 서적이나 서류 검토 - 2순위 | 17:참고 서적이나 서류 검토 - 3순위 | 18:샘플이나 실물 검토/목업 - 1순위 | 19:샘플이나 실물 검토/목업 - 2순위 | 20:샘플이나 실물 검토/목업 - 3순위 | 21:업무 관련 통화 - 1순위 | 22:업무 관련 통화 - 2순위 | 23:업무 관련 통화 - 3순위 | 24:1인 컨퍼런스콜/화상회의 - 1순위 | 25:1인 컨퍼런스콜/화상회의 - 2순위 | 26:1인 컨퍼런스콜/화상회의 - 3순위 | 27:기타(구체적으로 명시)","direct_text_passthrough","high","mapped","1-2 순위형 매트릭스(기타 텍스트 별도 컬럼) 기타 텍스트는 코드 변환 없이 원문 텍스트를 그대로 적재합니다."
"Q4","생산성이 증대되는 업무 장소","생산성이 증대되는 업무 장소","28:거의 모든 업무를 내 자리에서 수행한다 | 29:내 자리 또는 사무실 내 1인 업무 공간에서 수행한다 | 30:내 자리 또는 사무실 내 오픈 라운지에서 수행한다 | 31:일정 시간 사무실 외부 공간에서 업무를 수행한다 | 32:기타(구체적으로 명시)","single_sparse_pick","high","mapped","1-3 단일선택 행렬(기타 텍스트 별도 컬럼) 선택된 옵션 열을 기준으로 코드/라벨을 복원했습니다."
"Q4_TEXT","생산성이 증대되는 업무 장소__기타_텍스트","생산성이 증대되는 업무 장소__기타_텍스트","28:거의 모든 업무를 내 자리에서 수행한다 | 29:내 자리 또는 사무실 내 1인 업무 공간에서 수행한다 | 30:내 자리 또는 사무실 내 오픈 라운지에서 수행한다 | 31:일정 시간 사무실 외부 공간에서 업무를 수행한다 | 32:기타(구체적으로 명시)","single_sparse_pick","high","mapped","1-3 단일선택 행렬(기타 텍스트 별도 컬럼) 선택된 옵션 열을 기준으로 코드/라벨을 복원했습니다."
